code,name,type
3832,WGS 84 / PDC Mercator,Projected CRS
3857,WGS 84 / Pseudo-Mercator,Projected CRS
3976,WGS 84 / NSIDC Sea Ice Polar Stereographic South,Projected CRS
3994,WGS 84 / Mercator 41,Projected CRS
3995,WGS 84 / Arctic Polar Stereographic,Projected CRS
3996,WGS 84 / IBCAO Polar Stereographic,Projected CRS
3997,WGS 84 / Dubai Local TM,Projected CRS
4037,WGS 84 / TMzn35N,Projected CRS
4038,WGS 84 / TMzn36N,Projected CRS
4087,WGS 84 / World Equidistant Cylindrical,Projected CRS
4462,WGS 84 / Australian Centre for Remote Sensing Lambert,Projected CRS
4826,WGS 84 / Cape Verde National,Projected CRS
5041,"WGS 84 / UPS North (E,N)",Projected CRS
5042,"WGS 84 / UPS South (E,N)",Projected CRS
5223,WGS 84 / Gabon TM,Projected CRS
5523,WGS 84 / Gabon TM 2011,Projected CRS
5842,WGS 84 / TM 12 SE,Projected CRS
5921,WGS 84 / EPSG Arctic Regional zone A1,Projected CRS
5922,WGS 84 / EPSG Arctic Regional zone A2,Projected CRS
5923,WGS 84 / EPSG Arctic Regional zone A3,Projected CRS
5924,WGS 84 / EPSG Arctic Regional zone A4,Projected CRS
5925,WGS 84 / EPSG Arctic Regional zone A5,Projected CRS
5926,WGS 84 / EPSG Arctic Regional zone B1,Projected CRS
5927,WGS 84 / EPSG Arctic Regional zone B2,Projected CRS
5928,WGS 84 / EPSG Arctic Regional zone B3,Projected CRS
5929,WGS 84 / EPSG Arctic Regional zone B4,Projected CRS
5930,WGS 84 / EPSG Arctic Regional zone B5,Projected CRS
5931,WGS 84 / EPSG Arctic Regional zone C1,Projected CRS
5932,WGS 84 / EPSG Arctic Regional zone C2,Projected CRS
5933,WGS 84 / EPSG Arctic Regional zone C3,Projected CRS
5934,WGS 84 / EPSG Arctic Regional zone C4,Projected CRS
5935,WGS 84 / EPSG Arctic Regional zone C5,Projected CRS
5936,WGS 84 / EPSG Alaska Polar Stereographic,Projected CRS
5937,WGS 84 / EPSG Canada Polar Stereographic,Projected CRS
5938,WGS 84 / EPSG Greenland Polar Stereographic,Projected CRS
5939,WGS 84 / EPSG Norway Polar Stereographic,Projected CRS
5940,WGS 84 / EPSG Russia Polar Stereographic,Projected CRS
6075,WGS 84 / EPSG Arctic zone 2-24,Projected CRS
6076,WGS 84 / EPSG Arctic zone 2-26,Projected CRS
6077,WGS 84 / EPSG Arctic zone 3-13,Projected CRS
6078,WGS 84 / EPSG Arctic zone 3-15,Projected CRS
6079,WGS 84 / EPSG Arctic zone 3-17,Projected CRS
6080,WGS 84 / EPSG Arctic zone 3-19,Projected CRS
6081,WGS 84 / EPSG Arctic zone 4-30,Projected CRS
6082,WGS 84 / EPSG Arctic zone 4-32,Projected CRS
6083,WGS 84 / EPSG Arctic zone 4-34,Projected CRS
6084,WGS 84 / EPSG Arctic zone 4-36,Projected CRS
6085,WGS 84 / EPSG Arctic zone 4-38,Projected CRS
6086,WGS 84 / EPSG Arctic zone 4-40,Projected CRS
6087,WGS 84 / EPSG Arctic zone 5-15,Projected CRS
6088,WGS 84 / EPSG Arctic zone 5-17,Projected CRS
6089,WGS 84 / EPSG Arctic zone 5-19,Projected CRS
6090,WGS 84 / EPSG Arctic zone 5-21,Projected CRS
6091,WGS 84 / EPSG Arctic zone 5-23,Projected CRS
6092,WGS 84 / EPSG Arctic zone 5-25,Projected CRS
6093,WGS 84 / EPSG Arctic zone 5-27,Projected CRS
6115,WGS 84 / EPSG Arctic zone 1-27,Projected CRS
6116,WGS 84 / EPSG Arctic zone 1-29,Projected CRS
6117,WGS 84 / EPSG Arctic zone 1-31,Projected CRS
6118,WGS 84 / EPSG Arctic zone 1-21,Projected CRS
6119,WGS 84 / EPSG Arctic zone 2-28,Projected CRS
6120,WGS 84 / EPSG Arctic zone 2-10,Projected CRS
6121,WGS 84 / EPSG Arctic zone 2-12,Projected CRS
6122,WGS 84 / EPSG Arctic zone 3-21,Projected CRS
6123,WGS 84 / EPSG Arctic zone 3-23,Projected CRS
6124,WGS 84 / EPSG Arctic zone 4-12,Projected CRS
6703,WGS 84 / TM 60 SW,Projected CRS
6720,WGS 84 / CIG92,Projected CRS
6722,WGS 84 / CKIG92,Projected CRS
6931,WGS 84 / NSIDC EASE-Grid 2.0 North,Projected CRS
6932,WGS 84 / NSIDC EASE-Grid 2.0 South,Projected CRS
6933,WGS 84 / NSIDC EASE-Grid 2.0 Global,Projected CRS
7755,WGS 84 / India NSF LCC,Projected CRS
7756,WGS 84 / Andhra Pradesh,Projected CRS
7757,WGS 84 / Arunachal Pradesh,Projected CRS
7758,WGS 84 / Assam,Projected CRS
7759,WGS 84 / Bihar,Projected CRS
7760,WGS 84 / Delhi,Projected CRS
7761,WGS 84 / Gujarat,Projected CRS
7762,WGS 84 / Haryana,Projected CRS
7763,WGS 84 / Himachal Pradesh,Projected CRS
7764,WGS 84 / Jammu and Kashmir,Projected CRS
