code,name,type
2126,NZGD2000 / Timaru 2000,Projected CRS
2127,NZGD2000 / Lindis Peak 2000,Projected CRS
2128,NZGD2000 / Mount Nicholas 2000,Projected CRS
2129,NZGD2000 / Mount York 2000,Projected CRS
2130,NZGD2000 / Observation Point 2000,Projected CRS
2131,NZGD2000 / North Taieri 2000,Projected CRS
2132,NZGD2000 / Bluff 2000,Projected CRS
2133,NZGD2000 / UTM zone 58S,Projected CRS
2134,NZGD2000 / UTM zone 59S,Projected CRS
2135,NZGD2000 / UTM zone 60S,Projected CRS
2136,Accra / Ghana National Grid,Projected CRS
2137,Accra / TM 1 NW,Projected CRS
2138,NAD27(CGQ77) / Quebec Lambert,Projected CRS
2154,RGF93 v1 / Lambert-93,Projected CRS
2157,IRENET95 / Irish Transverse Mercator,Projected CRS
2158,IRENET95 / UTM zone 29N,Projected CRS
2159,Sierra Leone 1924 / New Colony Grid,Projected CRS
2160,Sierra Leone 1924 / New War Office Grid,Projected CRS
2161,Sierra Leone 1968 / UTM zone 28N,Projected CRS
2162,Sierra Leone 1968 / UTM zone 29N,Projected CRS
2164,Locodjo 1965 / TM 5 NW,Projected CRS
2165,Abidjan 1987 / TM 5 NW,Projected CRS
2169,LUREF / Luxembourg TM,Projected CRS
2172,Pulkovo 1942(58) / Poland zone II,Projected CRS
2173,Pulkovo 1942(58) / Poland zone III,Projected CRS
2174,Pulkovo 1942(58) / Poland zone IV,Projected CRS
2175,Pulkovo 1942(58) / Poland zone V,Projected CRS
2176,ETRF2000-PL / CS2000/15,Projected CRS
2177,ETRF2000-PL / CS2000/18,Projected CRS
2178,ETRF2000-PL / CS2000/21,Projected CRS
2179,ETRF2000-PL / CS2000/24,Projected CRS
2180,ETRF2000-PL / CS92,Projected CRS
2188,Azores Occidental 1939 / UTM zone 25N,Projected CRS
2189,Azores Central 1948 / UTM zone 26N,Projected CRS
2190,Azores Oriental 1940 / UTM zone 26N,Projected CRS
2193,NZGD2000 / New Zealand Transverse Mercator 2000,Projected CRS
2195,NAD83(HARN) / UTM zone 2S,Projected CRS
2196,ETRS89 / Kp2000 Jutland,Projected CRS
2197,ETRS89 / Kp2000 Zealand,Projected CRS
2198,ETRS89 / Kp2000 Bornholm,Projected CRS
2200,ATS77 / New Brunswick Stereographic (ATS77),Projected CRS
2201,REGVEN / UTM zone 18N,Projected CRS
2202,REGVEN / UTM zone 19N,Projected CRS
2203,REGVEN / UTM zone 20N,Projected CRS
2204,NAD27 / Tennessee,Projected CRS
2205,NAD83 / Kentucky North,Projected CRS
