code,name,type
3755,NAD83(HARN) / Wyoming East (ftUS),Projected CRS
3756,NAD83(HARN) / Wyoming East Central (ftUS),Projected CRS
3757,NAD83(HARN) / Wyoming West Central (ftUS),Projected CRS
3758,NAD83(HARN) / Wyoming West (ftUS),Projected CRS
3759,NAD83 / Hawaii zone 3 (ftUS),Projected CRS
3760,NAD83(HARN) / Hawaii zone 3 (ftUS),Projected CRS
3761,NAD83(CSRS) / UTM zone 22N,Projected CRS
3762,WGS 84 / South Georgia Lambert,Projected CRS
3763,ETRS89 / Portugal TM06,Projected CRS
3764,NZGD2000 / Chatham Island Circuit 2000,Projected CRS
3765,HTRS96 / Croatia TM,Projected CRS
3766,HTRS96 / Croatia LCC,Projected CRS
3767,HTRS96 / UTM zone 33N,Projected CRS
3768,HTRS96 / UTM zone 34N,Projected CRS
3769,Bermuda 1957 / UTM zone 20N,Projected CRS
3770,BDA2000 / Bermuda 2000 National Grid,Projected CRS
3771,NAD27 / Alberta 3TM ref merid 111 W,Projected CRS
3772,NAD27 / Alberta 3TM ref merid 114 W,Projected CRS
3773,NAD27 / Alberta 3TM ref merid 117 W,Projected CRS
3775,NAD83 / Alberta 3TM ref merid 111 W,Projected CRS
3776,NAD83 / Alberta 3TM ref merid 114 W,Projected CRS
3777,NAD83 / Alberta 3TM ref merid 117 W,Projected CRS
3779,NAD83(CSRS) / Alberta 3TM ref merid 111 W,Projected CRS
3780,NAD83(CSRS) / Alberta 3TM ref merid 114 W,Projected CRS
3781,NAD83(CSRS) / Alberta 3TM ref merid 117 W,Projected CRS
3783,Pitcairn 2006 / Pitcairn TM 2006,Projected CRS
3784,Pitcairn 1967 / UTM zone 9S,Projected CRS
3788,NZGD2000 / Auckland Islands TM 2000,Projected CRS
3789,NZGD2000 / Campbell Island TM 2000,Projected CRS
3790,NZGD2000 / Antipodes Islands TM 2000,Projected CRS
3791,NZGD2000 / Raoul Island TM 2000,Projected CRS
3793,NZGD2000 / Chatham Islands TM 2000,Projected CRS
3794,Slovenia 1996 / Slovene National Grid,Projected CRS
3795,NAD27 / Cuba Norte,Projected CRS
3796,NAD27 / Cuba Sur,Projected CRS
3797,NAD27 / MTQ Lambert,Projected CRS
3798,NAD83 / MTQ Lambert,Projected CRS
3799,NAD83(CSRS) / MTQ Lambert,Projected CRS
3800,NAD27 / Alberta 3TM ref merid 120 W,Projected CRS
3801,NAD83 / Alberta 3TM ref merid 120 W,Projected CRS
3802,NAD83(CSRS) / Alberta 3TM ref merid 120 W,Projected CRS
3812,ETRS89 / Belgian Lambert 2008,Projected CRS
3814,NAD83 / Mississippi TM,Projected CRS
3815,NAD83(HARN) / Mississippi TM,Projected CRS
3816,NAD83(NSRS2007) / Mississippi TM,Projected CRS
3819,HD1909,Geographic 2D CRS
3821,TWD67,Geographic 2D CRS
3822,TWD97,Geocentric CRS
3823,TWD97,Geographic 3D CRS
3824,TWD97,Geographic 2D CRS
3825,TWD97 / TM2 zone 119,Projected CRS
3826,TWD97 / TM2 zone 121,Projected CRS
3827,TWD67 / TM2 zone 119,Projected CRS
3828,TWD67 / TM2 zone 121,Projected CRS
3829,Hu Tzu Shan 1950 / UTM zone 51N,Projected CRS
3832,WGS 84 / PDC Mercator,Projected CRS
3833,Pulkovo 1942(58) / Gauss-Kruger zone 2,Projected CRS
3834,Pulkovo 1942(83) / Gauss-Kruger zone 2,Projected CRS
3835,Pulkovo 1942(83) / Gauss-Kruger zone 3,Projected CRS
3836,Pulkovo 1942(83) / Gauss-Kruger zone 4,Projected CRS
3837,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 3,Projected CRS
3838,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 4,Projected CRS
3839,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 9,Projected CRS
3840,Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 10,Projected CRS
3841,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 6,Projected CRS
3844,Pulkovo 1942(58) / Stereo70,Projected CRS
3845,SWEREF99 / RT90 7.5 gon V emulation,Projected CRS
3846,SWEREF99 / RT90 5 gon V emulation,Projected CRS
3847,SWEREF99 / RT90 2.5 gon V emulation,Projected CRS
3848,SWEREF99 / RT90 0 gon emulation,Projected CRS
3849,SWEREF99 / RT90 2.5 gon O emulation,Projected CRS
3850,SWEREF99 / RT90 5 gon O emulation,Projected CRS
3851,NZGD2000 / NZCS2000,Projected CRS
3852,RSRGD2000 / DGLC2000,Projected CRS
3854,County ST74,Projected CRS
3855,EGM2008 height,Vertical CRS
3857,WGS 84 / Pseudo-Mercator,Projected CRS
3873,EUREF-FIN / GK19FIN,Projected CRS
3874,EUREF-FIN / GK20FIN,Projected CRS
3875,EUREF-FIN / GK21FIN,Projected CRS
3876,EUREF-FIN / GK22FIN,Projected CRS
3877,EUREF-FIN / GK23FIN,Projected CRS
3878,EUREF-FIN / GK24FIN,Projected CRS
3879,EUREF-FIN / GK25FIN,Projected CRS
3880,EUREF-FIN / GK26FIN,Projected CRS
3881,EUREF-FIN / GK27FIN,Projected CRS
3882,EUREF-FIN / GK28FIN,Projected CRS
3883,EUREF-FIN / GK29FIN,Projected CRS
3884,EUREF-FIN / GK30FIN,Projected CRS
3885,EUREF-FIN / GK31FIN,Projected CRS
3886,Fao 1979 height,Vertical CRS
3887,IGRS,Geocentric CRS
3888,IGRS,Geographic 3D CRS
3889,IGRS,Geographic 2D CRS
3890,IGRS / UTM zone 37N,Projected CRS
3891,IGRS / UTM zone 38N,Projected CRS
3892,IGRS / UTM zone 39N,Projected CRS
3893,ED50 / Iraq National Grid,Projected CRS
3900,N2000 height,Vertical CRS
3901,KKJ / Finland Uniform Coordinate System + N60 height,Compound CRS
3902,"EUREF-FIN / TM35FIN(N,E) + N60 height",Compound CRS
3903,"EUREF-FIN / TM35FIN(N,E) + N2000 height",Compound CRS
3906,MGI 1901,Geographic 2D CRS
3912,MGI 1901 / Slovene National Grid,Projected CRS
3920,Puerto Rico / UTM zone 20N,Projected CRS
3942,RGF93 v1 / CC42,Projected CRS
3943,RGF93 v1 / CC43,Projected CRS
3944,RGF93 v1 / CC44,Projected CRS
3945,RGF93 v1 / CC45,Projected CRS
3946,RGF93 v1 / CC46,Projected CRS
3947,RGF93 v1 / CC47,Projected CRS
3948,RGF93 v1 / CC48,Projected CRS
3949,RGF93 v1 / CC49,Projected CRS
3950,RGF93 v1 / CC50,Projected CRS
3968,NAD83 / Virginia Lambert,Projected CRS
3969,NAD83(HARN) / Virginia Lambert,Projected CRS
3970,NAD83(NSRS2007) / Virginia Lambert,Projected CRS
3976,WGS 84 / NSIDC Sea Ice Polar Stereographic South,Projected CRS
3978,NAD83 / Canada Atlas Lambert,Projected CRS
3979,NAD83(CSRS) / Canada Atlas Lambert,Projected CRS
3986,Katanga 1955 / Katanga Gauss zone A,Projected CRS
3987,Katanga 1955 / Katanga Gauss zone B,Projected CRS
3988,Katanga 1955 / Katanga Gauss zone C,Projected CRS
3989,Katanga 1955 / Katanga Gauss zone D,Projected CRS
3991,Puerto Rico State Plane CS of 1927,Projected CRS
3992,Puerto Rico / St. Croix,Projected CRS
3993,Guam 1963 / Guam SPCS,Projected CRS
3994,WGS 84 / Mercator 41,Projected CRS
3995,WGS 84 / Arctic Polar Stereographic,Projected CRS
3996,WGS 84 / IBCAO Polar Stereographic,Projected CRS
3997,WGS 84 / Dubai Local TM,Projected CRS
4000,MOLDREF99,Geocentric CRS
4017,MOLDREF99,Geographic 3D CRS
4023,MOLDREF99,Geographic 2D CRS
4026,MOLDREF99 / Moldova TM,Projected CRS
4037,WGS 84 / TMzn35N,Projected CRS
4038,WGS 84 / TMzn36N,Projected CRS
4039,RGRDC 2005,Geocentric CRS
4040,RGRDC 2005,Geographic 3D CRS
4046,RGRDC 2005,Geographic 2D CRS
4048,RGRDC 2005 / Congo TM zone 12,Projected CRS
4049,RGRDC 2005 / Congo TM zone 14,Projected CRS
4050,RGRDC 2005 / Congo TM zone 16,Projected CRS
4051,RGRDC 2005 / Congo TM zone 18,Projected CRS
4056,RGRDC 2005 / Congo TM zone 20,Projected CRS
4057,RGRDC 2005 / Congo TM zone 22,Projected CRS
4058,RGRDC 2005 / Congo TM zone 24,Projected CRS
4059,RGRDC 2005 / Congo TM zone 26,Projected CRS
4060,RGRDC 2005 / Congo TM zone 28,Projected CRS
4061,RGRDC 2005 / UTM zone 33S,Projected CRS
4062,RGRDC 2005 / UTM zone 34S,Projected CRS
4063,RGRDC 2005 / UTM zone 35S,Projected CRS
4071,Chua / UTM zone 23S,Projected CRS
4073,SREF98,Geocentric CRS
4074,SREF98,Geographic 3D CRS
4075,SREF98,Geographic 2D CRS
4079,REGCAN95,Geocentric CRS
4080,REGCAN95,Geographic 3D CRS
4081,REGCAN95,Geographic 2D CRS
4082,REGCAN95 / UTM zone 27N,Projected CRS
4083,REGCAN95 / UTM zone 28N,Projected CRS
4087,WGS 84 / World Equidistant Cylindrical,Projected CRS
4093,ETRS89 / DKTM1,Projected CRS
4094,ETRS89 / DKTM2,Projected CRS
4095,ETRS89 / DKTM3,Projected CRS
4096,ETRS89 / DKTM4,Projected CRS
4097,ETRS89 / DKTM1 + DVR90 height,Compound CRS
4098,ETRS89 / DKTM2 + DVR90 height,Compound CRS
4099,ETRS89 / DKTM3 + DVR90 height,Compound CRS
4100,ETRS89 / DKTM4 + DVR90 height,Compound CRS
4120,Greek,Geographic 2D CRS
4121,GGRS87,Geographic 2D CRS
4122,ATS77,Geographic 2D CRS
4123,KKJ,Geographic 2D CRS
4124,RT90,Geographic 2D CRS
4127,Tete,Geographic 2D CRS
4128,Madzansua,Geographic 2D CRS
4129,Observatario,Geographic 2D CRS
4130,Moznet,Geographic 2D CRS
4131,Indian 1960,Geographic 2D CRS
4132,FD58,Geographic 2D CRS
4133,EST92,Geographic 2D CRS
4134,PSD93,Geographic 2D CRS
4135,Old Hawaiian,Geographic 2D CRS
4136,St. Lawrence Island,Geographic 2D CRS
4137,St. Paul Island,Geographic 2D CRS
4138,St. George Island,Geographic 2D CRS
4139,Puerto Rico,Geographic 2D CRS
4141,Israel 1993,Geographic 2D CRS
4142,Locodjo 1965,Geographic 2D CRS
4143,Abidjan 1987,Geographic 2D CRS
4144,Kalianpur 1937,Geographic 2D CRS
4145,Kalianpur 1962,Geographic 2D CRS
4146,Kalianpur 1975,Geographic 2D CRS
4147,Hanoi 1972,Geographic 2D CRS
4148,Hartebeesthoek94,Geographic 2D CRS
4149,CH1903,Geographic 2D CRS
4150,CH1903+,Geographic 2D CRS
4151,CHTRS95,Geographic 2D CRS
4152,NAD83(HARN),Geographic 2D CRS
4153,Rassadiran,Geographic 2D CRS
4154,ED50(ED77),Geographic 2D CRS
4155,Dabola 1981,Geographic 2D CRS
4156,S-JTSK,Geographic 2D CRS
4157,Mount Dillon,Geographic 2D CRS
4158,Naparima 1955,Geographic 2D CRS
4159,ELD79,Geographic 2D CRS
4160,Chos Malal 1914,Geographic 2D CRS
4161,Pampa del Castillo,Geographic 2D CRS
4162,Korean 1985,Geographic 2D CRS
4163,Yemen NGN96,Geographic 2D CRS
4164,South Yemen,Geographic 2D CRS
4165,Bissau,Geographic 2D CRS
4166,Korean 1995,Geographic 2D CRS
4167,NZGD2000,Geographic 2D CRS
4168,Accra,Geographic 2D CRS
4169,American Samoa 1962,Geographic 2D CRS
4170,SIRGAS 1995,Geographic 2D CRS
4171,RGF93 v1,Geographic 2D CRS
4173,IRENET95,Geographic 2D CRS
4174,Sierra Leone 1924,Geographic 2D CRS
4175,Sierra Leone 1968,Geographic 2D CRS
4176,Australian Antarctic,Geographic 2D CRS
4178,Pulkovo 1942(83),Geographic 2D CRS
4179,Pulkovo 1942(58),Geographic 2D CRS
4180,EST97,Geographic 2D CRS
4181,LUREF,Geographic 2D CRS
4182,Azores Occidental 1939,Geographic 2D CRS
4183,Azores Central 1948,Geographic 2D CRS
4184,Azores Oriental 1940,Geographic 2D CRS
4188,OSNI 1952,Geographic 2D CRS
4189,REGVEN,Geographic 2D CRS
4190,POSGAR 98,Geographic 2D CRS
4191,Albanian 1987,Geographic 2D CRS
4192,Douala 1948,Geographic 2D CRS
4193,Manoca 1962,Geographic 2D CRS
4194,Qornoq 1927,Geographic 2D CRS
4195,Scoresbysund 1952,Geographic 2D CRS
4196,Ammassalik 1958,Geographic 2D CRS
4197,Garoua,Geographic 2D CRS
4198,Kousseri,Geographic 2D CRS
4199,Egypt 1930,Geographic 2D CRS
4200,Pulkovo 1995,Geographic 2D CRS
4201,Adindan,Geographic 2D CRS
4202,AGD66,Geographic 2D CRS
4203,AGD84,Geographic 2D CRS
4204,Ain el Abd,Geographic 2D CRS
4205,Afgooye,Geographic 2D CRS
4206,Agadez,Geographic 2D CRS
4207,Lisbon,Geographic 2D CRS
4208,Aratu,Geographic 2D CRS
4209,Arc 1950,Geographic 2D CRS
4210,Arc 1960,Geographic 2D CRS
4211,Batavia,Geographic 2D CRS
4212,Barbados 1938,Geographic 2D CRS
4213,Beduaram,Geographic 2D CRS
4214,Beijing 1954,Geographic 2D CRS
4215,BD50,Geographic 2D CRS
4216,Bermuda 1957,Geographic 2D CRS
4217,NAD83 / BLM 59N (ftUS),Projected CRS
4218,Bogota 1975,Geographic 2D CRS
4219,Bukit Rimpah,Geographic 2D CRS
4220,Camacupa 1948,Geographic 2D CRS
4221,Campo Inchauspe,Geographic 2D CRS
4222,Cape,Geographic 2D CRS
4223,Carthage,Geographic 2D CRS
4224,Chua,Geographic 2D CRS
4225,Corrego Alegre 1970-72,Geographic 2D CRS
4227,Deir ez Zor,Geographic 2D CRS
4229,Egypt 1907,Geographic 2D CRS
4230,ED50,Geographic 2D CRS
4231,ED87,Geographic 2D CRS
4232,Fahud,Geographic 2D CRS
4236,Hu Tzu Shan 1950,Geographic 2D CRS
4237,HD72,Geographic 2D CRS
4238,ID74,Geographic 2D CRS
4239,Indian 1954,Geographic 2D CRS
4240,Indian 1975,Geographic 2D CRS
4241,Jamaica 1875,Geographic 2D CRS
4242,JAD69,Geographic 2D CRS
4243,Kalianpur 1880,Geographic 2D CRS
4244,Kandawala,Geographic 2D CRS
4245,Kertau 1968,Geographic 2D CRS
4246,KOC,Geographic 2D CRS
4247,La Canoa,Geographic 2D CRS
4248,PSAD56,Geographic 2D CRS
4249,Lake,Geographic 2D CRS
4250,Leigon,Geographic 2D CRS
4251,Liberia 1964,Geographic 2D CRS
4252,Lome,Geographic 2D CRS
4253,Luzon 1911,Geographic 2D CRS
4254,Hito XVIII 1963,Geographic 2D CRS
4255,Herat North,Geographic 2D CRS
4256,Mahe 1971,Geographic 2D CRS
4257,Makassar,Geographic 2D CRS
4258,ETRS89,Geographic 2D CRS
4259,Malongo 1987,Geographic 2D CRS
4261,Merchich,Geographic 2D CRS
4262,Massawa,Geographic 2D CRS
4263,Minna,Geographic 2D CRS
4265,Monte Mario,Geographic 2D CRS
4266,M'poraloko,Geographic 2D CRS
4267,NAD27,Geographic 2D CRS
4269,NAD83,Geographic 2D CRS
4270,Nahrwan 1967,Geographic 2D CRS
4271,Naparima 1972,Geographic 2D CRS
4272,NZGD49,Geographic 2D CRS
4273,NGO 1948,Geographic 2D CRS
4274,Datum 73,Geographic 2D CRS
4275,NTF,Geographic 2D CRS
4276,NSWC 9Z-2,Geographic 2D CRS
4277,OSGB36,Geographic 2D CRS
4278,OSGB70,Geographic 2D CRS
4279,OS(SN)80,Geographic 2D CRS
4281,Palestine 1923,Geographic 2D CRS
4282,Pointe Noire,Geographic 2D CRS
4283,GDA94,Geographic 2D CRS
4284,Pulkovo 1942,Geographic 2D CRS
4285,Qatar 1974,Geographic 2D CRS
4286,Qatar 1948,Geographic 2D CRS
4288,Loma Quintana,Geographic 2D CRS
4289,Amersfoort,Geographic 2D CRS
4292,Sapper Hill 1943,Geographic 2D CRS
4293,Schwarzeck,Geographic 2D CRS
4295,Serindung,Geographic 2D CRS
4297,Tananarive,Geographic 2D CRS
4298,Timbalai 1948,Geographic 2D CRS
4299,TM65,Geographic 2D CRS
4300,TM75,Geographic 2D CRS
4301,Tokyo,Geographic 2D CRS
4302,Trinidad 1903,Geographic 2D CRS
4303,TC(1948),Geographic 2D CRS
4304,Voirol 1875,Geographic 2D CRS
4306,Bern 1938,Geographic 2D CRS
4307,Nord Sahara 1959,Geographic 2D CRS
4308,RT38,Geographic 2D CRS
4309,Yacare,Geographic 2D CRS
4310,Yoff,Geographic 2D CRS
4311,Zanderij,Geographic 2D CRS
4312,MGI,Geographic 2D CRS
4313,BD72,Geographic 2D CRS
4314,DHDN,Geographic 2D CRS
4315,Conakry 1905,Geographic 2D CRS
4316,Dealul Piscului 1930,Geographic 2D CRS
4318,NGN,Geographic 2D CRS
4319,KUDAMS,Geographic 2D CRS
4322,WGS 72,Geographic 2D CRS
4324,WGS 72BE,Geographic 2D CRS
4326,WGS 84,Geographic 2D CRS
4390,Kertau 1968 / Johor Grid,Projected CRS
4391,Kertau 1968 / Sembilan and Melaka Grid,Projected CRS
4392,Kertau 1968 / Pahang Grid,Projected CRS
4393,Kertau 1968 / Selangor Grid,Projected CRS
4394,Kertau 1968 / Terengganu Grid,Projected CRS
4395,Kertau 1968 / Pinang Grid,Projected CRS
4396,Kertau 1968 / Kedah and Perlis Grid,Projected CRS
4397,Kertau 1968 / Perak Revised Grid,Projected CRS
4398,Kertau 1968 / Kelantan Grid,Projected CRS
4399,NAD27 / BLM 59N (ftUS),Projected CRS
4400,NAD27 / BLM 60N (ftUS),Projected CRS
4401,NAD27 / BLM 1N (ftUS),Projected CRS
4402,NAD27 / BLM 2N (ftUS),Projected CRS
4403,NAD27 / BLM 3N (ftUS),Projected CRS
4404,NAD27 / BLM 4N (ftUS),Projected CRS
4405,NAD27 / BLM 5N (ftUS),Projected CRS
4406,NAD27 / BLM 6N (ftUS),Projected CRS
4407,NAD27 / BLM 7N (ftUS),Projected CRS
4408,NAD27 / BLM 8N (ftUS),Projected CRS
4409,NAD27 / BLM 9N (ftUS),Projected CRS
4410,NAD27 / BLM 10N (ftUS),Projected CRS
4411,NAD27 / BLM 11N (ftUS),Projected CRS
4412,NAD27 / BLM 12N (ftUS),Projected CRS
4413,NAD27 / BLM 13N (ftUS),Projected CRS
4414,NAD83(HARN) / Guam Map Grid,Projected CRS
4415,Katanga 1955 / Katanga Lambert,Projected CRS
4417,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 7,Projected CRS
4418,NAD27 / BLM 18N (ftUS),Projected CRS
4419,NAD27 / BLM 19N (ftUS),Projected CRS
4420,NAD83 / BLM 60N (ftUS),Projected CRS
4421,NAD83 / BLM 1N (ftUS),Projected CRS
4422,NAD83 / BLM 2N (ftUS),Projected CRS
4423,NAD83 / BLM 3N (ftUS),Projected CRS
4424,NAD83 / BLM 4N (ftUS),Projected CRS
4425,NAD83 / BLM 5N (ftUS),Projected CRS
4426,NAD83 / BLM 6N (ftUS),Projected CRS
4427,NAD83 / BLM 7N (ftUS),Projected CRS
4428,NAD83 / BLM 8N (ftUS),Projected CRS
4429,NAD83 / BLM 9N (ftUS),Projected CRS
4430,NAD83 / BLM 10N (ftUS),Projected CRS
4431,NAD83 / BLM 11N (ftUS),Projected CRS
4432,NAD83 / BLM 12N (ftUS),Projected CRS
4433,NAD83 / BLM 13N (ftUS),Projected CRS
4434,Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 8,Projected CRS
4437,NAD83(NSRS2007) / Puerto Rico and Virgin Is.,Projected CRS
4438,NAD83 / BLM 18N (ftUS),Projected CRS
4439,NAD83 / BLM 19N (ftUS),Projected CRS
4440,NZVD2009 height,Vertical CRS
4455,NAD27 / Pennsylvania South,Projected CRS
4456,NAD27 / New York Long Island,Projected CRS
4457,NAD83 / South Dakota North (ftUS),Projected CRS
4458,Dunedin-Bluff 1960 height,Vertical CRS
4462,WGS 84 / Australian Centre for Remote Sensing Lambert,Projected CRS
4463,RGSPM06,Geographic 2D CRS
4465,RGSPM06,Geocentric CRS
4466,RGSPM06,Geographic 3D CRS
4467,RGSPM06 / UTM zone 21N,Projected CRS
4468,RGM04,Geocentric CRS
4469,RGM04,Geographic 3D CRS
4470,RGM04,Geographic 2D CRS
4471,RGM04 / UTM zone 38S,Projected CRS
4472,Cadastre 1997,Geographic 3D CRS
4473,Cadastre 1997,Geocentric CRS
4475,Cadastre 1997,Geographic 2D CRS
4479,China Geodetic Coordinate System 2000,Geocentric CRS
4480,China Geodetic Coordinate System 2000,Geographic 3D CRS
4481,Mexico ITRF92,Geocentric CRS
4482,Mexico ITRF92,Geographic 3D CRS
4483,Mexico ITRF92,Geographic 2D CRS
4484,Mexico ITRF92 / UTM zone 11N,Projected CRS
4485,Mexico ITRF92 / UTM zone 12N,Projected CRS
4486,Mexico ITRF92 / UTM zone 13N,Projected CRS
4487,Mexico ITRF92 / UTM zone 14N,Projected CRS
4488,Mexico ITRF92 / UTM zone 15N,Projected CRS
4489,Mexico ITRF92 / UTM zone 16N,Projected CRS
4490,China Geodetic Coordinate System 2000,Geographic 2D CRS
4491,CGCS2000 / Gauss-Kruger zone 13,Projected CRS
4492,CGCS2000 / Gauss-Kruger zone 14,Projected CRS
4493,CGCS2000 / Gauss-Kruger zone 15,Projected CRS
4494,CGCS2000 / Gauss-Kruger zone 16,Projected CRS
4495,CGCS2000 / Gauss-Kruger zone 17,Projected CRS
4496,CGCS2000 / Gauss-Kruger zone 18,Projected CRS
4497,CGCS2000 / Gauss-Kruger zone 19,Projected CRS
4498,CGCS2000 / Gauss-Kruger zone 20,Projected CRS
4499,CGCS2000 / Gauss-Kruger zone 21,Projected CRS
4500,CGCS2000 / Gauss-Kruger zone 22,Projected CRS
4501,CGCS2000 / Gauss-Kruger zone 23,Projected CRS
4502,CGCS2000 / Gauss-Kruger CM 75E,Projected CRS
4503,CGCS2000 / Gauss-Kruger CM 81E,Projected CRS
4504,CGCS2000 / Gauss-Kruger CM 87E,Projected CRS
4505,CGCS2000 / Gauss-Kruger CM 93E,Projected CRS
4506,CGCS2000 / Gauss-Kruger CM 99E,Projected CRS
4507,CGCS2000 / Gauss-Kruger CM 105E,Projected CRS
4508,CGCS2000 / Gauss-Kruger CM 111E,Projected CRS
4509,CGCS2000 / Gauss-Kruger CM 117E,Projected CRS
4510,CGCS2000 / Gauss-Kruger CM 123E,Projected CRS
4511,CGCS2000 / Gauss-Kruger CM 129E,Projected CRS
4512,CGCS2000 / Gauss-Kruger CM 135E,Projected CRS
4513,CGCS2000 / 3-degree Gauss-Kruger zone 25,Projected CRS
4514,CGCS2000 / 3-degree Gauss-Kruger zone 26,Projected CRS
4515,CGCS2000 / 3-degree Gauss-Kruger zone 27,Projected CRS
4516,CGCS2000 / 3-degree Gauss-Kruger zone 28,Projected CRS
4517,CGCS2000 / 3-degree Gauss-Kruger zone 29,Projected CRS
4518,CGCS2000 / 3-degree Gauss-Kruger zone 30,Projected CRS
4519,CGCS2000 / 3-degree Gauss-Kruger zone 31,Projected CRS
4520,CGCS2000 / 3-degree Gauss-Kruger zone 32,Projected CRS
4521,CGCS2000 / 3-degree Gauss-Kruger zone 33,Projected CRS
4522,CGCS2000 / 3-degree Gauss-Kruger zone 34,Projected CRS
4523,CGCS2000 / 3-degree Gauss-Kruger zone 35,Projected CRS
4524,CGCS2000 / 3-degree Gauss-Kruger zone 36,Projected CRS
4525,CGCS2000 / 3-degree Gauss-Kruger zone 37,Projected CRS
4526,CGCS2000 / 3-degree Gauss-Kruger zone 38,Projected CRS
4527,CGCS2000 / 3-degree Gauss-Kruger zone 39,Projected CRS
4528,CGCS2000 / 3-degree Gauss-Kruger zone 40,Projected CRS
4529,CGCS2000 / 3-degree Gauss-Kruger zone 41,Projected CRS
4530,CGCS2000 / 3-degree Gauss-Kruger zone 42,Projected CRS
4531,CGCS2000 / 3-degree Gauss-Kruger zone 43,Projected CRS
4532,CGCS2000 / 3-degree Gauss-Kruger zone 44,Projected CRS
4533,CGCS2000 / 3-degree Gauss-Kruger zone 45,Projected CRS
4534,CGCS2000 / 3-degree Gauss-Kruger CM 75E,Projected CRS
4535,CGCS2000 / 3-degree Gauss-Kruger CM 78E,Projected CRS
4536,CGCS2000 / 3-degree Gauss-Kruger CM 81E,Projected CRS
4537,CGCS2000 / 3-degree Gauss-Kruger CM 84E,Projected CRS
4538,CGCS2000 / 3-degree Gauss-Kruger CM 87E,Projected CRS
4539,CGCS2000 / 3-degree Gauss-Kruger CM 90E,Projected CRS
4540,CGCS2000 / 3-degree Gauss-Kruger CM 93E,Projected CRS
4541,CGCS2000 / 3-degree Gauss-Kruger CM 96E,Projected CRS
4542,CGCS2000 / 3-degree Gauss-Kruger CM 99E,Projected CRS
4543,CGCS2000 / 3-degree Gauss-Kruger CM 102E,Projected CRS
4544,CGCS2000 / 3-degree Gauss-Kruger CM 105E,Projected CRS
4545,CGCS2000 / 3-degree Gauss-Kruger CM 108E,Projected CRS
4546,CGCS2000 / 3-degree Gauss-Kruger CM 111E,Projected CRS
4547,CGCS2000 / 3-degree Gauss-Kruger CM 114E,Projected CRS
4548,CGCS2000 / 3-degree Gauss-Kruger CM 117E,Projected CRS
4549,CGCS2000 / 3-degree Gauss-Kruger CM 120E,Projected CRS
4550,CGCS2000 / 3-degree Gauss-Kruger CM 123E,Projected CRS
4551,CGCS2000 / 3-degree Gauss-Kruger CM 126E,Projected CRS
4552,CGCS2000 / 3-degree Gauss-Kruger CM 129E,Projected CRS
4553,CGCS2000 / 3-degree Gauss-Kruger CM 132E,Projected CRS
4554,CGCS2000 / 3-degree Gauss-Kruger CM 135E,Projected CRS
4555,New Beijing,Geographic 2D CRS
4556,RRAF 1991,Geocentric CRS
4557,RRAF 1991,Geographic 3D CRS
4558,RRAF 1991,Geographic 2D CRS
4559,RRAF 1991 / UTM zone 20N,Projected CRS
4568,New Beijing / Gauss-Kruger zone 13,Projected CRS
4569,New Beijing / Gauss-Kruger zone 14,Projected CRS
4570,New Beijing / Gauss-Kruger zone 15,Projected CRS
4571,New Beijing / Gauss-Kruger zone 16,Projected CRS
4572,New Beijing / Gauss-Kruger zone 17,Projected CRS
4573,New Beijing / Gauss-Kruger zone 18,Projected CRS
4574,New Beijing / Gauss-Kruger zone 19,Projected CRS
4575,New Beijing / Gauss-Kruger zone 20,Projected CRS
4576,New Beijing / Gauss-Kruger zone 21,Projected CRS
4577,New Beijing / Gauss-Kruger zone 22,Projected CRS
4578,New Beijing / Gauss-Kruger zone 23,Projected CRS
4579,New Beijing / Gauss-Kruger CM 75E,Projected CRS
4580,New Beijing / Gauss-Kruger CM 81E,Projected CRS
4581,New Beijing / Gauss-Kruger CM 87E,Projected CRS
4582,New Beijing / Gauss-Kruger CM 93E,Projected CRS
4583,New Beijing / Gauss-Kruger CM 99E,Projected CRS
4584,New Beijing / Gauss-Kruger CM 105E,Projected CRS
4585,New Beijing / Gauss-Kruger CM 111E,Projected CRS
4586,New Beijing / Gauss-Kruger CM 117E,Projected CRS
4587,New Beijing / Gauss-Kruger CM 123E,Projected CRS
4588,New Beijing / Gauss-Kruger CM 129E,Projected CRS
4589,New Beijing / Gauss-Kruger CM 135E,Projected CRS
4600,Anguilla 1957,Geographic 2D CRS
4601,Antigua 1943,Geographic 2D CRS
4602,Dominica 1945,Geographic 2D CRS
4603,Grenada 1953,Geographic 2D CRS
4604,Montserrat 1958,Geographic 2D CRS
4605,St. Kitts 1955,Geographic 2D CRS
4606,St. Lucia 1955,Geographic 2D CRS
4607,St. Vincent 1945,Geographic 2D CRS
4608,NAD27(76),Geographic 2D CRS
4609,NAD27(CGQ77),Geographic 2D CRS
4610,Xian 1980,Geographic 2D CRS
4611,Hong Kong 1980,Geographic 2D CRS
4612,JGD2000,Geographic 2D CRS
